mean_los,median_los,std_los,max_occupancy,throughput,mean_critical_wait,equity_index,p95_los,policy,seed
101.50750175903231,86.3288721413204,56.329290572297616,49.0,319.0,0.0,0.0,217.45996126299144,esi_fifo,0
93.60658699189824,81.1966026915241,45.03528925356139,55.0,306.0,0.0,0.0,183.47029550674182,esi_fifo,1
101.13528489097452,85.98368478705768,53.96589629995306,62.0,340.0,0.0,0.0,201.98659456104696,esi_fifo,2
96.71585982098858,87.14732487447793,45.54895120336974,43.0,305.0,0.0,0.0,189.37473632171756,esi_fifo,3
100.7218484961897,89.5027305172664,49.22013754433578,58.0,330.0,0.0,0.0,193.59367418504905,esi_fifo,4
98.83302826030972,88.22186616844164,51.110911789178054,59.0,334.0,0.0,0.0,206.83604280801177,esi_fifo,5
95.50093803738606,82.7034839751318,51.28206503718545,50.0,327.0,0.0,0.0,183.1818453406925,esi_fifo,6
98.56212672444765,86.87461635020895,51.42613437647603,50.0,317.0,0.0,0.0,198.57535799331887,esi_fifo,7
99.59027115115947,85.79921448487289,55.43810395963692,57.0,323.0,0.0,0.0,188.7698768565183,esi_fifo,8
105.30551150330572,87.5540126544156,60.36806734106934,52.0,297.0,0.0,0.0,227.048534028545,esi_fifo,9
101.50750175903231,86.3288721413204,56.329290572297616,49.0,319.0,0.0,0.0,217.45996126299144,srpt,0
93.60658699189824,81.1966026915241,45.03528925356139,55.0,306.0,0.0,0.0,183.47029550674182,srpt,1
101.13528489097452,85.98368478705768,53.96589629995306,62.0,340.0,0.0,0.0,201.98659456104696,srpt,2
96.71585982098858,87.14732487447793,45.54895120336974,43.0,305.0,0.0,0.0,189.37473632171756,srpt,3
100.7218484961897,89.5027305172664,49.22013754433578,58.0,330.0,0.0,0.0,193.59367418504905,srpt,4
98.83302826030972,88.22186616844164,51.110911789178054,59.0,334.0,0.0,0.0,206.83604280801177,srpt,5
95.50093803738606,82.7034839751318,51.28206503718545,50.0,327.0,0.0,0.0,183.1818453406925,srpt,6
98.56212672444765,86.87461635020895,51.42613437647603,50.0,317.0,0.0,0.0,198.57535799331887,srpt,7
99.59027115115947,85.79921448487289,55.43810395963692,57.0,323.0,0.0,0.0,188.7698768565183,srpt,8
105.30551150330572,87.5540126544156,60.36806734106934,52.0,297.0,0.0,0.0,227.048534028545,srpt,9
101.50750175903231,86.3288721413204,56.329290572297616,49.0,319.0,0.0,0.0,217.45996126299144,heuristic,0
93.60658699189824,81.1966026915241,45.03528925356139,55.0,306.0,0.0,0.0,183.47029550674182,heuristic,1
101.13528489097452,85.98368478705768,53.96589629995306,62.0,340.0,0.0,0.0,201.98659456104696,heuristic,2
96.71585982098858,87.14732487447793,45.54895120336974,43.0,305.0,0.0,0.0,189.37473632171756,heuristic,3
100.7218484961897,89.5027305172664,49.22013754433578,58.0,330.0,0.0,0.0,193.59367418504905,heuristic,4
98.83302826030972,88.22186616844164,51.110911789178054,59.0,334.0,0.0,0.0,206.83604280801177,heuristic,5
95.50093803738606,82.7034839751318,51.28206503718545,50.0,327.0,0.0,0.0,183.1818453406925,heuristic,6
98.56212672444765,86.87461635020895,51.42613437647603,50.0,317.0,0.0,0.0,198.57535799331887,heuristic,7
99.59027115115947,85.79921448487289,55.43810395963692,57.0,323.0,0.0,0.0,188.7698768565183,heuristic,8
105.30551150330572,87.5540126544156,60.36806734106934,52.0,297.0,0.0,0.0,227.048534028545,heuristic,9
